10.16.21.147,EE7E07777A5A5B81B235F042,123246.720011,0,-65
10.16.21.147,EE7E07777A5A5B81B235F042,123246.746749,0,-66
10.16.21.147,EE7E07777A5A5B81B235F042,123246.776739,0,-66
10.16.21.147,EE7E07777A5A5B81B235F042,123246.852450,0,-69
10.16.21.147,EE7E07777A5A5B81B235F042,123246.916817,0,-68
10.16.21.147,EE7E07777A5A5B81B235F042,123246.946426,0,-70
10.16.21.147,35000000019010061A8F0000,123246.948436,1,-73
10.16.21.147,EE7E07777A5A5B81B235F042,123246.976104,0,-65
10.16.21.147,35000000019010061A8F0000,123246.981667,1,-72
10.16.21.147,EE7E07777A5A5B81B235F042,123247.006354,0,-63
10.16.21.147,EE7E07777A5A5B81B235F042,123247.035955,0,-65
