Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.75514,201156.75514,660,0,0.00,15,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.76199,201156.76199,590,0,0.00,31,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.76453,201156.76453,670,0,0.00,16,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.76683,201156.76683,620,0,0.00,32,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.76914,201156.76914,690,0,0.00,17,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.77711,201156.77711,590,0,0.00,33,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.77953,201156.77953,700,0,0.00,18,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.78225,201156.78225,630,0,0.00,34,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.78323,201156.78323,680,0,0.00,19,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.79333,201156.79333,630,0,0.00,35,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.80268,201156.80268,620,0,0.00,36,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.80811,201156.80811,720,0,0.00,33,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.81116,201156.81116,650,0,0.00,37,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.81747,201156.81747,630,0,0.00,38,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.82532,201156.82532,650,0,0.00,39,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.83771,201156.83771,610,0,0.00,40,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.83863,201156.83863,670,0,0.00,20,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.84463,201156.84463,660,0,0.00,41,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.84586,201156.84586,690,0,0.00,21,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.85289,201156.85289,670,0,0.00,42,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.81001,201156.81001,600,0,0.00,19,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.85773,201156.85773,680,0,0.00,43,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.81669,201156.81669,610,0,0.00,20,0,,
