Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
12,6E1652DF8692B036E201234567333333,141545.95393,141546.49530,141546.49530,310,0,0.00,54,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.50953,141546.50953,300,0,0.00,55,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.52023,141546.52023,310,0,0.00,56,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.52756,141546.52756,310,0,0.00,57,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.53903,141546.53903,350,0,0.00,58,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.55248,141546.55248,390,0,0.00,59,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.56434,141546.56434,420,0,0.00,60,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.56977,141546.56977,440,0,0.00,61,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.58036,141546.58036,410,0,0.00,62,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.59888,141546.59888,390,0,0.00,63,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.60783,141546.60783,380,0,0.00,64,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.61714,141546.61714,370,0,0.00,65,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.62612,141546.62612,400,0,0.00,66,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.64000,141546.64000,430,0,0.00,67,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.64459,141546.64459,450,0,0.00,68,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.65529,141546.65529,490,0,0.00,69,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.66471,141546.66471,530,0,0.00,70,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.67910,141546.67910,570,0,0.00,71,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.68844,141546.68844,540,0,0.00,72,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.69823,141546.69823,530,0,0.00,73,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.70459,141546.70459,550,0,0.00,74,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.71821,141546.71821,530,0,0.00,75,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.72914,141546.72914,550,0,0.00,76,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.73303,141546.73303,550,0,0.00,77,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.74824,141546.74824,550,0,0.00,78,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.75271,141546.75271,550,0,0.00,79,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.76460,141546.76460,550,0,0.00,80,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.77355,141546.77355,560,0,0.00,81,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.78305,141546.78305,550,0,0.00,82,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.79006,141546.79006,550,0,0.00,83,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.80259,141546.80259,570,0,0.00,84,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.81303,141546.81303,570,0,0.00,85,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.81891,141546.81891,560,0,0.00,86,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.82894,141546.82894,550,0,0.00,87,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.84028,141546.84028,550,0,0.00,88,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.84701,141546.84701,550,0,0.00,89,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.85293,141546.85293,580,0,0.00,90,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.86528,141546.86528,620,0,0.00,91,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141546.87388,141546.87388,660,0,0.00,92,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.67455,141547.67455,670,0,0.00,93,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.68173,141547.68173,680,0,0.00,94,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.68426,141547.68426,670,0,0.00,95,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.69171,141547.69171,660,0,0.00,96,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.69512,141547.69512,660,0,0.00,97,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.70171,141547.70171,660,0,0.00,98,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.70453,141547.70453,670,0,0.00,99,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.71203,141547.71203,660,0,0.00,100,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.71455,141547.71455,660,0,0.00,101,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.72084,141547.72084,660,0,0.00,102,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.72371,141547.72371,670,0,0.00,103,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.73116,141547.73116,670,0,0.00,104,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.73364,141547.73364,670,0,0.00,105,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.74097,141547.74097,650,0,0.00,106,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.74431,141547.74431,650,0,0.00,107,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.75099,141547.75099,670,0,0.00,108,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.75427,141547.75427,670,0,0.00,109,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.76173,141547.76173,650,0,0.00,110,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.76397,141547.76397,650,0,0.00,111,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.77030,141547.77030,670,0,0.00,112,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.77471,141547.77471,670,0,0.00,113,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.78001,141547.78001,670,0,0.00,114,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.78325,141547.78325,670,0,0.00,115,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.78979,141547.78979,650,0,0.00,116,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.79239,141547.79239,670,0,0.00,117,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.79892,141547.79892,670,0,0.00,118,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.80338,141547.80338,660,0,0.00,119,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.80856,141547.80856,670,0,0.00,120,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.81199,141547.81199,670,0,0.00,121,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.82281,141547.82281,660,0,0.00,122,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.82613,141547.82613,670,0,0.00,123,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.83269,141547.83269,680,0,0.00,124,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.83578,141547.83578,660,0,0.00,125,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.84353,141547.84353,660,0,0.00,126,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.84554,141547.84554,650,0,0.00,127,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.85235,141547.85235,670,0,0.00,128,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.85569,141547.85569,660,0,0.00,129,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.86294,141547.86294,660,0,0.00,130,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.86589,141547.86589,670,0,0.00,131,0,,
